LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
74,180710,1,1,,,350,2,1,0,30,0,50,,5,0,7,52,34,,
74,180710,1,1,,,350,2,1,1,30,0,50,,4,0,5,16,11,,
74,180710,1,1,,,350,2,1,0,30,20,50,,5,0,5,82,39,,
74,180710,1,1,,,350,2,1,1,30,20,50,,4,0,6,80,39,,
74,180710,1,1,,,325,2,1,0,30,40,50,,4,0,10,18,8,,
74,180710,1,1,,,325,2,1,1,30,40,50,,4,0,9,74,40,,
74,180710,1,1,,,300,2,1,0,30,40,50,,4,0,10,14,4,,
74,180710,1,1,,,300,2,1,1,30,40,50,,2,0,14,17,3,,
74,180711,1,1,,,325,2,1,1,30,60,50,,5,0,6,37,30,,
74,180711,1,1,,,325,2,1,0,30,60,50,,5,0,6,14,5,,
74,180711,1,1,,,325,2,1,1,30,60,50,,5,0,5,43,37,,
74,180711,1,1,,,325,2,1,0,30,60,50,,5,0,6,47,29,,
74,180711,1,1,,,313,2,1,1,30,20,50,,5,0,10,81,37,,
74,180711,1,1,,,313,2,1,0,30,20,50,,5,0,9,61,36,,
74,180711,1,1,,,305,2,1,1,30,0,50,,5,0,8,89,38,,
74,180711,1,1,,,305,2,1,0,30,0,50,,4,0,11,80,34,,
74,180711,1,1,,,300,2,1,1,30,0,50,,4,0,11,80,38,,
74,180711,1,1,,,300,2,1,0,30,0,50,,4,0,13,18,5,,
74,180711,1,1,,,310,2,1,1,30,0,50,,5,0,23,21,18,,
74,180711,1,1,,,310,2,1,0,30,0,50,,4,0,16,86,36,,
74,180711,1,1,,,310,2,1,1,30,20,50,,1,0,0,13,0,,
74,180711,1,1,,,310,2,1,0,30,20,50,,5,0,12,68,34,,
74,180712,1,1,,,310,2,1,0,30,40,50,,5,0,14,45,24,,
74,180712,1,1,,,310,2,1,1,30,40,50,,1,0,0,1,0,,
74,180712,1,1,,,315,2,1,0,30,60,50,,5,0,15,23,8,,
