LTR,Date,expNo1,expNo2,EStmDrtn,Laser,illmDrtn,MSillmHz,MSillmInt,ADThrs,sGSThrs
74,180702,2,1,2,0,5,20,30,125,125
74,180702,2,2,2,1,5,20,30,75,75
74,180702,2,3,2,0,5,20,30,113,213
74,180702,2,4,2,1,5,20,30,113,138
74,180704,1,1,2,0,5,20,30,88,113
74,180704,1,2,2,1,5,20,30,113,138
74,180704,1,3,2,0,5,20,30,138,138
74,180704,1,4,2,1,5,20,30,138,138
74,180706,1,1,2,0,5,20,25,138,138
74,180706,1,2,2,1,5,20,25,150,170
74,180706,1,3,2,0,5,20,25,160,325
74,180706,1,4,2,1,5,20,25,175,325
74,180706,1,5,2,0,5,20,25,225,425
74,180706,1,6,2,1,5,20,25,225,500
74,180709,1,1,2,0,5,20,25,175,325
74,180709,1,2,2,1,5,20,25,225,275
74,180709,1,3,2,0,5,20,25,175,225
74,180709,1,4,2,1,5,20,25,225,275
88,190410,1,1,2,0,60,20,25,75,150
88,190410,1,2,2,1,60,20,25,38,38
88,190410,1,3,2,0,60,20,25,100,130
88,190410,1,4,2,1,60,20,25,75,75
88,190410,1,5,2,0,60,20,25,125,125
88,190410,1,6,2,1,60,20,25,110,110
88,190411,1,1,2,1,60,20,25,38,63
88,190411,1,2,2,0,60,20,25,75,75
88,190411,1,3,2,1,60,20,25,100,100
88,190411,1,4,2,0,60,20,25,175,175
88,190411,1,7,2,1,5,20,25,220,220
88,190411,1,8,2,0,5,20,25,325,325
104,190429,1,1,2,0,60,20,25,13,63
104,190429,1,2,2,1,60,20,25,25,25
104,190429,1,3,2,0,60,20,25,30,30
104,190429,1,4,2,1,60,20,25,10,10
105,190429,1,1,2,1,60,20,25,13,125
105,190429,1,2,2,0,60,20,25,25,180
105,190429,1,3,2,1,60,20,25,30,120
105,190429,1,4,2,0,60,20,25,10,95
104,190430,1,1,2,0,5,20,25,23,23
104,190430,1,2,2,1,5,20,25,15,15
104,190430,1,3,2,0,5,20,25,23,27
104,190430,1,4,2,1,5,20,25,30,30
105,190430,1,1,2,1,5,20,25,60,60
105,190430,1,2,2,0,5,20,25,40,40
105,190430,1,3,2,1,5,20,25,35,35
105,190430,1,4,2,0,5,20,25,40,40
104,190501,1,1,2,0,5,20,25,20,20
104,190501,1,2,2,1,5,20,25,25,25
104,190501,1,3,2,0,60,20,25,20,20
104,190501,1,4,2,1,60,20,25,23,23
105,190501,1,1,2,1,5,20,25,30,30
105,190501,1,2,2,0,5,20,25,40,40
105,190501,1,3,2,1,60,20,25,25,25
105,190501,1,4,2,0,60,20,25,45,45
