LTR,Date,expNo1,expNo2,EStmDrtn,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,ADThrs,sGSThrs,accDschrg
80,180220,2,1,1,0,5,20,400,40,40,0
80,180220,2,2,1,1,5,20,400,113,113,0
80,180220,2,3,1,1,5,20,400,88,113,0
80,180220,2,4,1,0,5,20,400,38,38,0
80,180220,2,5,1,0,5,20,400,63,63,0
80,180220,2,6,1,1,5,20,400,113,113,0
80,180221,1,1,1,1,5,20,400,88,88,0
80,180221,1,2,1,0,5,20,400,38,38,0
80,180221,1,3,1,1,5,20,400,113,138,0
80,180221,1,4,1,0,5,20,400,63,63,0
81,180221,2,1,1,0,5,20,800,38,38,0
81,180221,2,2,1,1,5,20,800,13,63,0
81,180221,2,3,1,0,5,20,800,88,163,0
81,180221,2,4,1,1,5,20,800,13,88,0
80,180222,1,1,1,0,5,20,400,38,38,0
80,180222,1,2,1,1,5,20,400,113,163,0
81,180222,2,1,1,1,5,20,800,13,13,0
81,180222,2,2,1,0,5,20,800,38,38,0
81,180222,2,3,1,0,5,20,800,38,38,0
81,180222,2,4,1,1,5,20,800,13,13,0
81,180222,2,5,1,1,5,20,400,13,13,0
81,180222,2,6,1,0,5,20,400,113,113,0
81,180223,1,1,1,1,5,20,400,13,88,0
81,180223,1,2,1,0,5,20,400,38,63,0
81,180223,1,3,1,1,5,20,400,13,13,0
81,180223,1,4,1,0,5,20,400,38,38,0
81,180223,1,5,1,1,5,20,400,13,13,0
81,180223,1,6,1,0,5,20,400,138,138,0
81,180223,1,7,1,0,5,20,400,138,138,0
81,180223,1,8,1,1,5,20,400,13,63,0
99,181027,1,1,1,0,5,20,400,50,50,0
99,181027,1,2,1,1,5,20,400,63,63,0
99,181027,1,3,1,0,5,20,400,73,73,0
99,181027,1,4,1,1,5,20,400,50,65,0
99,181027,1,5,1,0,5,20,400,80,80,0
99,181027,1,6,1,1,5,20,400,70,70,0
99,181028,1,1,1,0,5,20,400,50,75,0
99,181028,1,2,1,1,5,20,400,75,75,0
99,181028,1,3,1,0,5,20,400,80,128,0
99,181028,1,4,1,1,5,20,400,80,90,0
