LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
93,180910,1,1,2,0,35,2,1,0,30,0,45,1,5,0,6.81,58.33,48.398,,
93,180910,1,1,32,8,35,2,1,1,30,0,45,1,5,0,8.46,84.564,58.92,,
93,180910,1,1,60,0,35,2,1,0,30,20,45,1,5,0,6.782,75.376,60.296,,
93,180910,1,1,90,10,35,2,1,1,30,20,45,1,5,0,9.452,64.976,69.368,,
94,180910,1,1,2,0,20,2,1,1,30,0,45,1,5,0,1.092,60.818,41.188,,
94,180910,1,1,32,8,20,2,1,0,30,0,45,1,5,0,0,42.482,43.812,,
94,180910,1,1,60,0,20,2,1,1,30,20,45,1,5,0,1.772,58.042,58.17,,
94,180910,1,1,90,10,20,2,1,0,30,20,45,1,5,0,0,62.112,47.718,,
94,180910,1,1,120,10,20,2,1,1,30,40,45,1,5,0,0,78.462,49.566,,
94,180910,1,1,152,0,20,2,1,0,30,40,45,1,5,0,0,72.444,41.234,,
93,180911,1,1,4,20,35,2,1,0,30,60,45,1,5,0,0.248,45.968,45.204,,
93,180911,1,1,32,30,35,2,1,1,30,60,45,0,0,0,0,0,0,,
93,180911,1,1,67,20,75,2,1,0,30,60,45,1,5,0,5.228,3.648,7.628,,
93,180911,1,1,124,50,75,2,1,1,30,60,45,1,5,0,14.722,60.286,38.538,,
94,180911,1,1,67,20,50,2,1,1,30,60,45,1,5,0,5.74,57.222,44.018,,
94,180911,1,1,124,50,50,2,1,0,30,60,45,1,5,0,2.666,69.152,47.09,,
94,180911,1,1,230,0,55,2,1,1,30,20,45,1,5,0,4.752,63.222,50.804,,
94,180911,1,1,270,0,55,2,1,0,30,20,45,1,5,0,4.444,62.588,51.422,,
94,180911,1,1,301,20,55,2,1,1,30,0,45,1,5,0,6.82,53.248,37.172,,
94,180911,1,1,337,30,55,2,1,0,30,0,45,1,1,0,0.48,55.398,7.236,,
93,180922,1,1,0,34,150,2,1,0,30,0,45,1,5,0,8.612,56.314,47.348,,
93,180922,1,1,32,0,150,2,1,1,30,0,45,1,5,0,4.164,74.994,68.538,,
93,180922,1,2,0,30,100,2,1,0,30,20,45,1,5,0,8.59,75.27,66.196,,
93,180922,1,2,32,30,100,2,1,1,30,20,45,1,5,0,13.998,73.24,44.476,,
93,180922,1,2,65,0,90,2,1,0,30,40,45,1,5,0,12.17,84.154,77.852,,
93,180922,1,2,96,30,90,2,1,1,30,40,45,1,5,0,13,64.56,45.192,,
93,180922,1,2,128,30,90,2,1,0,30,60,45,1,5,0,13.634,72.404,55.708,,
93,180922,1,2,160,0,90,2,1,1,30,60,45,1,5,0,12.106,68.142,61.062,,
94,180922,1,1,0,34,100,2,1,1,30,0,45,1,5,0,1.714,56.67,54.412,,
94,180922,1,1,32,0,100,2,1,0,30,0,45,1,5,0,2.77,55.79,56.084,,
94,180922,1,2,0,30,75,2,1,1,30,20,45,1,5,0,2.652,63.22,62.142,,
94,180922,1,2,32,30,75,2,1,0,30,20,45,1,5,0,2.89,61.1,57.048,,
94,180922,1,2,65,0,60,2,1,1,30,40,45,1,5,0,3.034,64.908,63.098,,
94,180922,1,2,96,30,60,2,1,0,30,40,45,1,5,0,3.242,54.488,52.19,,
94,180922,1,2,128,30,60,2,1,1,30,60,45,1,5,0,3.342,58.262,54.25,,
94,180922,1,2,160,0,60,2,1,0,30,60,45,1,5,0,3.086,55.438,53.37,,
93,180925,1,1,0,30,90,2,1,0,30,60,45,1,5,0,11.848,38.612,38.536,,
93,180925,1,1,31,30,90,2,1,1,30,60,45,1,5,0,10.928,22.808,19.644,,
93,180925,1,1,63,30,80,2,1,0,30,40,45,1,5,0,11.694,20.974,18.208,,
93,180925,1,1,97,30,80,2,1,1,30,40,45,1,5,0,15.1,27.508,18.904,,
93,180925,1,2,13,30,70,2,1,0,30,20,45,1,4,0,11.884,69.412,31.936,,
93,180925,1,2,45,30,70,2,1,1,30,20,45,1,5,2,18.294,68.034,27.182,,
