LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
74,180710,1,1,NaN,NaN,350,2,1,0,30,0,50,NaN,5,0,7,52,34,NaN,,-0.529411764705882,1
74,180710,1,1,NaN,NaN,350,2,1,1,30,0,50,NaN,4,0,5,16,11,NaN,,-0.529411764705882,1
74,180710,1,1,NaN,NaN,350,2,1,0,30,20,50,NaN,5,0,5,82,39,NaN,,-0.0123456790123457,0
74,180710,1,1,NaN,NaN,350,2,1,1,30,20,50,NaN,4,0,6,80,39,NaN,,-0.0123456790123457,0
74,180710,1,1,NaN,NaN,325,2,1,0,30,40,50,NaN,4,0,10,18,8,NaN,,0.608695652173913,0
74,180710,1,1,NaN,NaN,325,2,1,1,30,40,50,NaN,4,0,9,74,40,NaN,,0.608695652173913,0
74,180710,1,1,NaN,NaN,300,2,1,0,30,40,50,NaN,4,0,10,14,4,NaN,,0.0967741935483871,0
74,180710,1,1,NaN,NaN,300,2,1,1,30,40,50,NaN,2,0,14,17,3,NaN,,0.0967741935483871,0
74,180711,1,1,NaN,NaN,325,2,1,1,30,60,50,NaN,5,0,6,37,30,NaN,,0.450980392156863,0
74,180711,1,1,NaN,NaN,325,2,1,0,30,60,50,NaN,5,0,6,14,5,NaN,,0.450980392156863,0
74,180711,1,1,NaN,NaN,325,2,1,1,30,60,50,NaN,5,0,5,43,37,NaN,,-0.0444444444444444,0
74,180711,1,1,NaN,NaN,325,2,1,0,30,60,50,NaN,5,0,6,47,29,NaN,,-0.0444444444444444,0
74,180711,1,1,NaN,NaN,313,2,1,1,30,20,50,NaN,5,0,10,81,37,NaN,,0.140845070422535,0
74,180711,1,1,NaN,NaN,313,2,1,0,30,20,50,NaN,5,0,9,61,36,NaN,,0.140845070422535,0
74,180711,1,1,NaN,NaN,305,2,1,1,30,0,50,NaN,5,0,8,89,38,NaN,,0.0532544378698225,0
74,180711,1,1,NaN,NaN,305,2,1,0,30,0,50,NaN,4,0,11,80,34,NaN,,0.0532544378698225,0
74,180711,1,1,NaN,NaN,300,2,1,1,30,0,50,NaN,4,0,11,80,38,NaN,,0.63265306122449,0
74,180711,1,1,NaN,NaN,300,2,1,0,30,0,50,NaN,4,0,13,18,5,NaN,,0.63265306122449,0
74,180711,1,1,NaN,NaN,310,2,1,1,30,0,50,NaN,5,0,23,21,18,NaN,,-0.607476635514019,1
74,180711,1,1,NaN,NaN,310,2,1,0,30,0,50,NaN,4,0,16,86,36,NaN,,-0.607476635514019,1
74,180711,1,1,NaN,NaN,310,2,1,1,30,20,50,NaN,1,0,0,13,0,NaN,,-0.679012345679012,1
74,180711,1,1,NaN,NaN,310,2,1,0,30,20,50,NaN,5,0,12,68,34,NaN,,-0.679012345679012,1
74,180712,1,1,NaN,NaN,310,2,1,0,30,40,50,NaN,5,0,14,45,24,NaN,,-0.956521739130435,1
74,180712,1,1,NaN,NaN,310,2,1,1,30,40,50,NaN,1,0,0,1,0,NaN,,-0.956521739130435,1
74,180712,1,1,NaN,NaN,315,2,1,0,30,60,50,NaN,5,0,15,23,8,NaN,,0.245901639344262,0
74,180712,1,1,NaN,NaN,315,2,1,1,30,60,50,NaN,5,0,14,38,24,NaN,,0.245901639344262,0
74,180712,1,1,NaN,NaN,315,2,1,0,30,0,50,NaN,5,0,13,42,20,NaN,,-0.272727272727273,0
74,180712,1,1,NaN,NaN,315,2,1,1,30,0,50,NaN,5,0,13,24,11,NaN,,-0.272727272727273,0
74,180712,1,1,NaN,NaN,315,2,1,0,30,20,50,NaN,5,0,11,44,24,NaN,,0.169811320754717,0
74,180712,1,1,NaN,NaN,315,2,1,1,30,20,50,NaN,4,0,9,62,34,NaN,,0.169811320754717,0
74,180712,1,1,NaN,NaN,315,2,1,0,30,40,50,NaN,5,0,16,82,26,NaN,,-0.576923076923077,1
74,180712,1,1,NaN,NaN,315,2,1,1,30,40,50,NaN,2,0,20,22,2,NaN,,-0.576923076923077,1
74,180712,1,1,NaN,NaN,315,2,1,0,30,60,50,NaN,5,0,15,50,29,NaN,,-0.538461538461538,1
74,180712,1,1,NaN,NaN,315,2,1,1,30,60,50,NaN,1,0,0,15,0,NaN,,-0.538461538461538,1
74,180712,1,1,NaN,NaN,315,2,1,0,30,60,50,NaN,4,0,20,75,31,NaN,,-0.724137931034483,1
74,180712,1,1,NaN,NaN,315,2,1,1,30,60,50,NaN,1,0,0,12,0,NaN,,-0.724137931034483,1
