LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
82,190130,1,1,1,20,100,2,1,0,30,0,45,1,5,0,1.214,43.942,40.51,NaN,,-0.773356471205456,1
82,190130,1,1,38,20,100,2,1,1,30,0,45,1,4,0,0.398,5.616,9.154,NaN,,-0.773356471205456,1
82,190130,1,1,73,30,90,2,1,0,30,20,45,1,5,0,5.488,41.126,35.116,NaN,,-0.018676310314079,0
82,190130,1,1,108,30,90,2,1,1,30,20,45,1,5,0,5.308,39.618,33.546,NaN,,-0.018676310314079,0
82,190130,1,1,142,30,90,2,1,0,30,40,45,1,5,0,5.962,47.598,39.312,NaN,,-1,1
82,190130,1,1,175,30,90,2,1,1,30,40,45,1,0,0,0,0,5.448,NaN,,-1,1
82,190130,1,1,209,30,95,2,1,0,30,60,45,1,5,0,1.108,46.94,118.198,NaN,,-1,1
82,190130,1,1,241,55,95,2,1,1,30,60,45,1,0,0,2.702,0,7.744,NaN,,-1,1
83,190130,1,1,1,20,100,2,1,1,30,0,45,1,5,0,14.648,50.148,36.146,NaN,,0.0152444579410872,0
83,190130,1,1,38,20,100,2,1,0,30,0,45,1,5,0,5.464,48.642,41.864,NaN,,0.0152444579410872,0
83,190130,1,1,73,30,80,2,1,1,30,20,45,1,1,0,0,0,0,NaN,,-1,1
83,190130,1,1,108,30,80,2,1,0,30,20,45,1,5,0,10.876,49.514,34.242,NaN,,-1,1
83,190130,1,1,142,30,90,2,1,1,30,40,45,1,5,0,0.992,63.166,53.624,NaN,,-0.0316864163843453,0
83,190130,1,1,175,30,90,2,1,0,30,40,45,1,5,0,4.438,67.3,55.608,NaN,,-0.0316864163843453,0
82,190204,1,1,1,40,100,2,1,0,30,60,45,1,1,0,1.044,25.184,5.438,NaN,,0.44159645232816,0
82,190204,1,1,35,0,100,2,1,1,30,60,45,1,5,0,6.038,65.016,38.88,NaN,,0.44159645232816,0
82,190204,1,1,67,15,100,2,1,0,30,40,45,1,5,0,6.074,44.728,36.526,NaN,,-0.0105053882475205,0
82,190204,1,1,118,30,100,2,1,1,30,40,45,1,5,0,5.194,43.798,39.14,NaN,,-0.0105053882475205,0
82,190204,1,1,152,0,90,2,1,0,30,20,45,1,5,0,0.42,65.706,46.4,NaN,,-0.693846510788585,1
82,190204,1,1,183,30,90,2,1,1,30,20,45,1,1,0,0.448,11.876,8.058,NaN,,-0.693846510788585,1
82,190204,1,1,218,0,90,2,1,0,30,0,45,1,5,0,5.194,39.688,39.138,NaN,,-0.736284889316651,1
82,190204,1,1,254,0,90,2,1,1,30,0,45,1,3,0,0,6.028,12.498,NaN,,-0.736284889316651,1
