LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded,r,theta,X,Y,pval,z
80,180613,1,3,NaN,NaN,125,2,1,0,1,0,400,NaN,5,0,12,40,28,NaN,,0.183673469,0,0.761501117,1.637664917,-0.050882567,0.75979926,5.02E-35,65.5268865
80,180613,1,3,NaN,NaN,125,2,1,1,1,0,400,NaN,5,2,6,58,44,NaN,,0.183673469,0,0.241224053,2.243241733,-0.150258677,0.18870976,0.000249189,8.204655143
80,180613,1,3,NaN,NaN,100,2,1,0,1,20,400,NaN,5,0,10,42,32,NaN,,0.31147541,0,0.680078778,0.652180391,0.540501017,0.412753915,3.53E-34,67.06353587
80,180613,1,3,NaN,NaN,100,2,1,1,1,20,400,NaN,5,3,20,80,36,NaN,,0.31147541,0,0.409681217,-0.093853867,0.407878192,-0.038393743,2.54E-15,32.22503027
80,180613,1,3,NaN,NaN,75,2,1,0,1,40,400,NaN,5,0,7,30,24,NaN,,0.4,0,0.027194294,-0.107057947,0.027038601,-0.002905807,0.974078784,0.026623067
80,180613,1,3,NaN,NaN,75,2,1,1,1,40,400,NaN,5,5,19,70,42,NaN,,0.4,0,0.482982541,-0.012685302,0.482943682,-0.006126615,5.58E-13,26.59302341
80,180613,1,3,NaN,NaN,75,2,1,0,1,60,400,NaN,5,1,17,47,30,NaN,,0.175438596,0,NaN,0,NaN,NaN,NaN,NaN
80,180613,1,3,NaN,NaN,75,2,1,1,1,60,400,NaN,5,7,24,67,19,NaN,,0.175438596,0,NaN,0,NaN,NaN,NaN,NaN
80,180614,1,2,NaN,NaN,200,2,1,1,1,20,400,NaN,5,8,17,63,18,NaN,,0.3125,0,NaN,0,NaN,NaN,NaN,NaN
80,180614,1,2,NaN,NaN,200,2,1,0,1,20,400,NaN,5,12,16,33,17,NaN,,0.3125,0,NaN,0,NaN,NaN,NaN,NaN
80,180614,1,2,NaN,NaN,250,2,1,1,1,40,400,NaN,4,8,15,55,40,NaN,,0.12244898,0,0.512512668,-1.58381484,-0.006671965,-0.512469238,1.34E-10,21.27620803
80,180614,1,2,NaN,NaN,250,2,1,0,1,40,400,NaN,4,1,4,43,39,NaN,,0.12244898,0,NaN,0,NaN,NaN,NaN,NaN
80,180616,1,1,NaN,NaN,150,2,1,1,1,20,400,NaN,1,0,1,20,4,NaN,,-0.534883721,1,0.631853703,0.054295817,0.630922568,0.034290159,4.50E-06,11.17869487
80,180616,1,1,NaN,NaN,150,2,1,0,1,20,400,NaN,2,4,1,66,4,NaN,,-0.534883721,1,0.948728647,1.997085682,-0.392294639,0.863823456,5.69E-45,68.40653952
80,180616,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,1,22,5,NaN,,-0.428571429,1,0.726729946,-0.391950285,0.671618981,-0.277604682,5.92E-12,22.18172943
80,180616,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,4,4,30,55,25,NaN,,-0.428571429,1,0.553498054,2.061357698,-0.260764629,0.488223212,7.49E-14,27.87876874
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,0,20,53,33,NaN,,-0.558823529,1,0.706130393,2.562429901,-0.590975488,0.386481701,7.08E-24,45.87305216
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.558823529,1,0.95232014,1.776095055,-0.194139626,0.93232154,3.06E-43,65.29778267
80,180619,1,1,NaN,NaN,175,2,1,1,1,60,400,NaN,0,0,0,15,0,NaN,,-0.605263158,1,0.818290199,-0.215334275,0.799391806,-0.174847336,9.28E-11,18.74876781
80,180619,1,1,NaN,NaN,175,2,1,0,1,60,400,NaN,5,2,21,61,26,NaN,,-0.605263158,1,0.510139326,2.034109544,-0.227988652,0.456358747,6.01E-08,15.6145279
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,12,0,NaN,,-0.647058824,1,0.343493479,-1.026016106,0.178008673,-0.293769778,0.064855647,2.71371871
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,20,56,36,NaN,,-0.647058824,1,0.5466133,-1.074312335,0.260372136,-0.48061674,5.06E-05,9.262369099
80,180619,1,1,NaN,NaN,175,2,1,1,1,40,400,NaN,0,0,0,23,0,NaN,,-0.445783133,1,0.627050983,2.743680802,-0.578060837,0.242978608,6.99E-18,35.38736418
80,180619,1,1,NaN,NaN,175,2,1,0,1,40,400,NaN,5,0,21,60,39,NaN,,-0.445783133,1,NaN,0,NaN,NaN,NaN,NaN
80,180619,1,1,NaN,NaN,175,2,1,1,1,20,400,NaN,0,0,0,23,0,NaN,,-0.41025641,1,0.723310494,-3.082975744,-0.722068223,-0.04237395,6.89E-20,37.66882107
80,180619,1,1,NaN,NaN,175,2,1,0,1,20,400,NaN,5,0,19,55,36,NaN,,-0.41025641,1,0.641699599,-1.386854608,0.11737084,-0.630874362,4.60E-06,11.11801613
80,180619,1,1,NaN,NaN,175,2,1,1,1,0,400,NaN,0,0,0,19,0,NaN,,-0.506493506,1,0.879587054,2.881085715,-0.849909374,0.226555606,7.38E-30,50.28877012
80,180619,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,28,58,30,NaN,,-0.506493506,1,0.471989656,0.598107073,0.39005365,0.26576754,0.000111372,8.688195194
80,180620,1,1,NaN,NaN,175,2,1,0,1,0,400,NaN,5,1,13,57,44,NaN,,-0.461538462,1,0.493254436,2.836557724,-0.470484066,0.148137374,7.52E-12,24.08669389
