LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmHz,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
85,180817,1,1,0,30,75,2,0,1,25,1,45,1,1,0,1.2456,24.1032,2.896,,
85,180817,1,1,36,10,75,2,0,0,25,1,45,1,1,0,0,20.0776,0,,
85,180817,1,1,52,40,100,2,0,1,25,8,45,1,1,0,3.4032,20.8584,0.3192,,
85,180817,1,1,70,10,100,2,0,0,25,8,45,1,1,0,0,20.3248,0,,
85,180817,1,1,89,0,150,2,0,1,25,20,45,1,1,0,0,25.9904,0,,
85,180817,1,1,106,0,150,2,0,0,25,20,45,1,1,0,1.2592,23.9424,23.7544,,
85,180817,1,1,123,30,200,2,0,1,25,1,45,1,1,0,1.4408,25.5656,23.7288,,
85,180817,1,1,141,0,200,2,0,0,25,1,45,1,1,0,1.9232,25.6776,16.9224,,
85,180817,1,1,165,30,300,2,0,1,25,8,45,1,1,0,2.0408,28.4704,6.9784,,
85,180817,1,1,190,30,300,2,0,0,25,8,45,1,1,0,1.6968,27.66,20.8272,,
85,180817,1,1,227,10,400,2,0,1,25,20,45,1,2,2,2.3568,30.9944,11.4608,,
85,180817,1,1,259,10,400,2,0,0,25,20,45,1,1,1,2.8352,25.8712,4.3352,,
85,180818,1,1,1,0,100,2,0,0,25,1,45,1,1,0,2.0408,28.5144,20.9144,,
85,180818,1,1,33,0,100,2,0,1,25,1,45,1,1,0,0,18.0064,0,,
85,180818,1,1,90,0,500,2,0,0,25,8,45,1,1,0,14.9528,29.9568,14.4312,,
85,180818,1,1,125,0,500,2,0,1,25,8,45,1,1,0,0,21.0152,0,,
85,180818,1,1,159,30,500,2,0,0,25,20,45,1,1,0,3,25.5744,19.2408,,
85,180818,1,1,191,0,500,2,0,1,25,20,45,1,1,0,13.0952,36.48,10.996,,
85,180825,1,1,0,45,60,2,1,0,25,1,45,1,5,0,8.4968,46.8008,34.996,,
85,180825,1,1,31,0,60,2,1,1,25,1,45,1,5,0,9.4992,55.9768,39.7064,,
85,180825,1,1,65,30,25,2,0,0,25,8,45,0,0,0,0,0,0,,
85,180825,1,1,97,0,25,2,0,1,25,8,45,1,3,0,1.3832,48.556,4.6048,,
85,180825,1,1,128,0,20,2,0,0,25,20,45,0,0,0,0,0,0,,
85,180825,1,1,144,35,20,2,0,1,25,20,45,0,0,0,0,18.3368,0,,
85,180825,1,1,157,0,20,2,0,0,25,1,45,0,0,0,0,0,0,,
85,180825,1,1,167,30,20,2,0,1,25,1,45,0,0,0,0,0,0,,
85,180825,1,1,178,30,20,2,0,0,25,8,45,0,0,0,0,0,0.6656,,
85,180825,1,1,189,30,20,2,0,1,25,8,45,0,0,0,0,0,0,,
85,180825,1,1,202,0,20,2,0,0,25,20,45,0,0,0,0,0,0,,
85,180825,1,1,213,30,20,2,0,1,25,20,45,0,0,0,0,0,0,,
85,180826,1,1,0,30,20,2,0,0,25,1,45,0,0,0,0,0,0,,
85,180826,1,1,11,0,20,2,0,1,25,1,45,0,0,0,0,0,0,,
85,180826,1,1,22,30,22,2,0,0,25,8,45,1,1,0,0.7304,50.2672,34.5104,,
85,180826,1,1,38,30,22,2,0,1,25,8,45,1,1,0,0,0,0,,
85,180826,1,1,55,0,21,2,0,0,25,20,45,0,0,0,0,0,0,,
85,180826,1,1,72,30,21,2,0,1,25,20,45,0,0,0,0,89.7632,0,,
85,180826,1,1,83,0,21,2,0,0,25,1,45,0,0,0,0,0,0,,
85,180826,1,1,94,30,21,2,0,1,25,1,45,0,0,0,0,0,0,,
85,180826,1,1,107,0,21,2,0,0,25,8,45,0,0,0,0,0,0,,
85,180826,1,1,119,30,21,2,0,1,25,8,45,0,0,0,0,97.752,0,,
85,180826,1,1,132,0,21,2,0,0,25,20,45,0,0,0,0,0,0,,
85,180826,1,1,144,30,21,2,0,1,25,20,45,0,0,0,0,76.464,0,,
85,180826,1,1,157,0,21,2,0,0,25,20,45,0,0,0,0,0,0,,
85,180826,1,1,167,30,21,2,0,1,25,20,45,0,0,0,0,108.104,0,,
85,180826,1,1,182,0,21,2,0,0,25,8,45,0,0,0,0,0,0,,
85,180826,1,1,194,30,21,2,0,1,25,8,45,1,1,0,20.8104,68.9128,9.0384,,
85,180826,1,1,212,0,21,2,0,0,25,1,45,0,0,0,0,0,0,,
85,180826,1,1,224,30,21,2,0,1,25,1,45,0,0,0,0,0,0,,
85,180828,2,1,0,30,75,2,1,0,25,20,45,1,5,0,2.0296,71.4368,66.2744,,
85,180828,2,1,31,30,75,2,1,1,25,20,45,1,4,0,2.1776,58.852,58.024,,
85,180828,2,1,64,0,75,2,1,0,25,8,45,1,5,0,1.3984,67.9888,66.5048,,
85,180828,2,1,95,30,75,2,1,1,25,8,45,1,5,0,0.9656,65.632,59.2696,,
85,180828,2,1,127,0,75,2,1,0,25,1,45,1,5,0,3.028,54.8176,55.4288,,
85,180828,2,1,159,30,75,2,1,1,25,1,45,1,5,0,1.1992,56.692,58.4352,,
85,180828,2,1,191,0,55,2,1,0,25,20,45,1,4,0,0.9016,62.212,61.6064,,
85,180828,2,1,222,22,55,2,1,1,25,20,45,1,4,0,0.6072,58.6472,69.564,,
85,180828,2,1,256,0,50,2,1,0,25,8,45,1,4,0,1.0336,69.06,70.9776,,
85,180828,2,1,288,0,50,2,1,1,25,8,45,1,4,0,0.7224,61.12,62.8896,,
85,180828,2,1,319,30,45,2,1,0,25,1,45,1,4,0,1.1784,51.1496,48.772,,
85,180828,2,1,351,30,45,2,1,1,25,1,45,1,5,0,1.484,32.588,31.5168,,
85,180829,2,1,0,30,50,2,1,0,25,20,45,1,5,0,5.1728,51.8784,47.648,,
85,180829,2,1,32,0,50,2,1,1,25,20,45,1,5,0,1.3456,63.6,51.1544,,
85,180829,2,1,63,30,45,2,1,0,25,8,45,1,1,0,1.7984,19.3168,16.6736,,
85,180829,2,1,95,0,45,2,1,1,25,8,45,1,5,0,1.12,91.068,55.3136,,
85,180829,2,1,126,30,45,2,1,0,25,1,45,1,2,0,1.0928,28.9616,28.9248,,
85,180829,2,1,158,0,45,2,1,1,25,1,45,1,1,0,1.1032,35.0968,33.8032,,
85,180829,2,1,189,30,50,2,1,0,25,20,45,1,5,0,1.1632,54.9856,59.768,,
85,180829,2,1,221,0,50,2,1,1,25,20,45,1,1,0,1.6504,42.3432,71.592,,
85,180829,2,1,252,30,50,2,1,0,25,8,45,1,2,0,0.9424,53.8936,53.3536,,
85,180829,2,1,284,0,50,2,1,1,25,8,45,1,5,0,0.948,52.9176,53.144,,
85,180829,2,1,316,0,50,2,1,0,25,1,45,1,1,0,1.0616,27.2664,26.4208,,
85,180829,2,1,347,30,50,2,1,1,25,1,45,1,1,0,0.9648,52.9984,50.7048,,
86,180817,1,1,0,30,160,2,0,0,25,1,45,1,2,0,0.7968,16.4064,4.1768,,
86,180817,1,1,36,10,160,2,0,1,25,1,45,1,1,0,1.48,26.8688,19.868,,
86,180817,1,1,52,40,200,2,0,0,25,8,45,1,2,3,18.8224,25.7552,4.144,,
86,180817,1,1,70,10,200,2,0,1,25,8,45,1,1,0,0,26.1008,0,,
86,180817,1,1,89,0,250,2,0,0,25,20,45,1,1,0,0,23.7696,0,,
86,180817,1,1,106,0,250,2,0,1,25,20,45,1,1,0,0,25.52,0,,
86,180817,1,1,123,30,350,2,0,0,25,1,45,1,1,0,0,26.256,0,,
86,180817,1,1,141,0,350,2,0,1,25,1,45,1,1,0,0,26.2432,0,,
86,180817,1,1,165,30,425,2,0,0,25,8,45,1,1,0,0,26.7904,0,,
86,180817,1,1,190,30,425,2,0,1,25,8,45,1,1,0,0,27.2176,0.472,,
86,180817,1,1,227,10,500,2,0,0,25,20,45,1,2,1,0,27.5424,0,,
86,180817,1,1,259,10,500,2,0,1,25,20,45,1,2,2,2.4664,28.5224,1.3952,,
