LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,Laser,illmDrtn,illmDly,MSillmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
69,171128,2,2,,,,,1,0,30,20,30,,5,0,21,82,37,0,0
69,171128,2,2,,,,,1,1,30,20,30,,0,0,11,11,0,0,0
69,171128,2,3,,,,,1,1,30,20,30,,5,0,18,49,31,1,0
69,171128,2,3,,,,,1,0,30,20,30,,5,0,22,74,37,0,0
69,171129,3,1,,,,,1,0,30,20,30,,5,0,9,36,27,0,0
69,171129,3,1,,,,,1,1,30,20,30,,5,0,9,56,33,0,0
69,171204,1,1,,,,,1,0,30,20,30,,5,0,10,85,29,1,0
69,171204,1,1,,,,,1,1,30,20,30,,5,0,12,33,19,0,0
69,171205,3,1,,,,,1,0,30,20,30,,5,0,14.058,45.98,27.254,1,0
69,171205,3,1,,,,,1,1,30,20,30,,5,0,10.172,78.006,42.644,0,0
69,171205,3,2,,,,,1,1,30,20,30,,5,0,11.366,75.328,39.27,1,0
69,171205,3,2,,,,,1,0,30,20,30,,5,0,13.298,93.188,48.56,1,1
69,171206,3,1,,,,,1,0,30,20,30,,5,0,9,94,32,1,0
69,171206,3,1,,,,,1,1,30,20,30,,5,0,12,51,33,1,0
69,171213,1,1,,,,,1,1,30,20,30,,5,0,9,44,35,1,0
69,171213,1,1,,,,,1,0,30,20,30,,5,0,10,61,45,0,0
69,171213,1,2,,,,,1,0,30,20,30,,5,0,11,52,41,1,0
69,171213,1,2,,,,,1,1,30,20,30,,5,0,16,76,46,1,0
69,171213,1,3,,,,,1,0,30,20,30,,5,0,12,64,46,1,0
69,171213,1,3,,,,,1,1,30,20,30,,5,0,18,78,47,1,0
69,171213,1,4,,,,,1,1,30,20,30,,5,0,16,79,54,0,0
69,171213,1,4,,,,,1,0,30,20,30,,5,0,13,95,59,1,0
69,171219,1,1,,,,,1,0,30,0,30,,5,0,14.634,27.494,10.1,0,0
69,171219,1,1,,,,,1,1,30,0,30,,5,0,17.688,57.822,7.934,1,0
69,171219,1,1,,,,,1,0,30,20,30,,5,0,14.746,46.82,6.702,0,0
69,171219,1,1,,,,,1,1,30,20,30,,5,0,18.416,62.836,14.722,0,0
69,171219,1,1,,,,,1,0,30,40,30,,5,0,18.236,75.992,23.088,1,1
69,171219,1,1,,,,,1,1,30,40,30,,5,0,15.666,83.514,38.926,1,0
69,171219,1,1,,,,,1,0,30,60,30,,5,0,20.386,43.866,23.654,1,1
69,171219,1,1,,,,,1,1,30,60,30,,5,0,12.954,52.656,47.398,0,0
69,171220,1,1,,,,,1,1,30,60,30,,5,0,6,25,19,1,0
69,171220,1,1,,,,,1,0,30,60,30,,5,0,8,51,36,1,0
69,171220,1,1,,,,,1,1,30,40,30,,5,0,12,36,21,0,0
69,171220,1,1,,,,,1,0,30,40,30,,5,0,12,96,47,0,0
69,171220,1,1,,,,,1,1,30,20,30,,5,0,14,72,39,1,0
69,171220,1,1,,,,,1,0,30,20,30,,5,0,15,101,35,1,0
69,171220,1,1,,,,,1,1,30,0,30,,5,0,19,70,34,1,0
69,171220,1,1,,,,,1,0,30,0,30,,5,0,18,45,27,0,0
69,171221,1,1,,,,,1,1,30,60,30,,5,0,17,39,22,1,0
69,171221,1,1,,,,,1,0,30,60,30,,5,0,11,44,26,0,0
69,171221,1,1,,,,,1,1,30,40,30,,5,0,15,49,26,1,0
69,171221,1,1,,,,,1,0,30,40,30,,4,0,17,24,7,1,0
69,171221,1,1,,,,,1,1,30,20,30,,5,0,17,46,25,0,0
69,171221,1,1,,,,,1,0,30,20,30,,5,0,17,43,23,1,0
69,171221,1,1,,,,,1,1,30,0,30,,5,0,19,50,30,0,0
69,171221,1,1,,,,,1,0,30,0,30,,5,0,16,118,37,0,0
69,171227,1,1,,,,,1,1,30,0,30,,1,0,35,35,0,0,0
69,171227,1,1,,,,,1,0,30,0,30,,5,0,16,41,25,0,0
69,171227,1,1,,,,,1,0,30,20,30,,5,0,14,30,16,0,0
69,171227,1,1,,,,,1,1,30,20,30,,3,0,16,54,38,1,0
69,171227,1,1,,,,,1,0,30,40,30,,4,0,18,65,47,0,0
69,171227,1,1,,,,,1,1,30,40,30,,4,0,14,84,23,0,0
69,171227,1,1,,,,,1,0,30,60,30,,5,0,16,55,39,1,0
69,171227,1,1,,,,,1,1,30,60,30,,5,0,11,54,43,0,0
69,171228,1,1,,,,,1,1,30,60,30,,5,0,7,72,57,0,0
69,171228,1,1,,,,,1,0,30,60,30,,5,0,17,48,31,0,0
69,171228,1,1,,,,,1,1,30,40,30,,5,0,20,57,33,1,0
69,171228,1,1,,,,,1,0,30,40,30,,5,0,16,52,25,1,0
69,171228,1,1,,,,,1,1,30,20,30,,5,0,21,53,32,0,0
69,171228,1,1,,,,,1,0,30,20,30,,5,0,27,70,22,1,0
69,171228,1,1,,,,,1,1,30,0,30,,5,0,24,63,34,1,0
69,171228,1,1,,,,,1,0,30,0,30,,5,0,25,75,41,1,0
85,180808,2,1,,,100,2,1,0,30,0,45,,5,0,8,45,34,,
85,180808,2,1,,,100,2,1,1,30,0,45,,5,0,6,50,36,,
86,180808,2,1,,,200,2,1,1,30,0,45,,4,0,16,45,27,,
86,180808,2,1,,,200,2,1,0,30,0,45,,4,0,20,63,21,,
85,180813,2,1,,,100,2,1,0,30,20,45,,1,2,0,17,0,,
85,180813,2,1,,,100,2,1,1,30,20,45,,4,0,11,58,13,,
85,180813,2,1,,,100,2,1,0,30,40,45,,5,0,6,49,33,,
85,180813,2,1,,,100,2,1,1,30,40,45,,5,0,7,51,44,,
85,180813,2,1,,,100,2,1,0,30,60,45,,5,0,6,54,48,,
85,180813,2,1,,,100,2,1,1,30,60,45,,5,0,11,56,45,,
86,180813,2,1,,,200,2,1,1,30,20,45,,1,0,0,29,0,,
86,180813,2,1,,,200,2,1,0,30,20,45,,2,4,0,42,0,,
86,180813,2,1,,,200,2,1,1,30,40,45,,4,2,16,64,20,,
86,180813,2,1,,,200,2,1,0,30,40,45,,5,0,14,62,44,,
86,180813,2,1,,,200,2,1,1,30,60,45,,4,0,24,67,43,,
86,180813,2,1,,,200,2,1,0,30,60,45,,5,0,33,71,38,,
85,180814,2,1,,,75,2,1,0,30,0,45,,5,0,11,55,44,,
85,180814,2,1,,,75,2,1,1,30,0,45,,0,0,0,14,0,,
85,180814,2,1,,,75,2,1,0,30,20,45,,5,0,6,55,37,,
85,180814,2,1,,,75,2,1,1,30,20,45,,5,0,8,46,38,,
85,180814,2,1,,,75,2,1,0,30,40,45,,5,0,9,52,38,,
85,180814,2,1,,,75,2,1,1,30,40,45,,5,0,7,46,39,,
85,180814,2,1,,,75,2,1,0,30,60,45,,5,0,8,53,45,,
85,180814,2,1,,,75,2,1,1,30,60,45,,5,0,10,36,26,,
86,180814,2,1,,,175,2,1,1,30,0,45,,3,0,0,39,0,,
86,180814,2,1,,,175,2,1,0,30,0,45,,1,0,0,23,0,,
86,180814,2,1,,,200,2,1,1,30,20,45,,4,0,12,60,28,,
86,180814,2,1,,,200,2,1,0,30,20,45,,5,0,17,51,30,,
86,180814,2,1,,,190,2,1,1,30,40,45,,5,0,19,54,38,,
86,180814,2,1,,,190,2,1,0,30,40,45,,5,0,15,48,30,,
86,180814,2,1,,,190,2,1,1,30,60,45,,5,0,22,46,22,,
86,180814,2,1,,,190,2,1,0,30,60,45,,5,0,16,49,33,,
85,180815,2,1,,,75,2,1,0,30,60,45,,5,0,9,63,37,,
85,180815,2,1,,,75,2,1,1,30,60,45,,4,0,7,46,39,,
85,180815,2,1,,,70,2,1,0,30,40,45,,5,0,7,58,41,,
85,180815,2,1,,,70,2,1,1,30,40,45,,4,0,8,62,40,,
85,180815,2,1,,,70,2,1,0,30,40,45,,5,0,7,54,41,,
85,180815,2,1,,,70,2,1,0,30,20,45,,5,0,16,54,38,,
85,180815,2,1,,,70,2,1,1,30,20,45,,5,0,22,68,37,,
85,180815,2,1,,,70,2,1,1,30,40,45,,4,0,13,63,40,,
85,180815,2,1,,,65,2,1,0,30,0,45,,5,0,0,14,0,,
85,180815,2,1,,,65,2,1,1,30,0,45,,0,0,19,23,4,,
85,180815,2,1,,,65,2,1,0,30,0,45,,5,0,16,72,50,,
85,180815,2,1,,,65,2,1,1,30,0,45,,0,0,0,14,0,,
86,180815,2,1,,,190,2,1,1,30,60,45,,5,0,15,52,24,,
86,180815,2,1,,,190,2,1,0,30,60,45,,5,0,17,45,21,,
86,180815,2,1,,,180,2,1,1,30,40,45,,5,1,16,60,31,,
86,180815,2,1,,,180,2,1,0,30,40,45,,5,0,18,44,23,,
86,180815,2,1,,,180,2,1,1,30,40,45,,5,1,17,56,30,,
86,180815,2,1,,,180,2,1,0,30,40,45,,5,0,22,50,28,,
86,180815,2,1,,,170,2,1,1,30,20,45,,5,0,25,47,22,,
86,180815,2,1,,,170,2,1,0,30,20,45,,5,0,20,53,33,,
86,180815,2,1,,,160,2,1,1,30,0,45,,5,0,28,48,20,,
86,180815,2,1,,,160,2,1,0,30,0,45,,4,0,26,55,29,,
86,180815,2,1,,,160,2,1,1,30,0,45,,5,0,24,54,24,,
86,180815,2,1,,,160,2,1,0,30,0,45,,4,0,16,24,8,,
85,180816,2,1,,,70,2,1,0,30,0,45,,2,1,0,32,0,,
