LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,r,theta,X,Y,pval,z
99,181108,1,1,1,1,1,40,60,0,0,0.20866204562659,1.55028407270581,0.0042798287590853,0.208618149619984,0.0156086372546856,4.13628568208193
99,181108,1,1,1,1,1,20,40,0,0,0.1253945380732,0.678718611804092,0.0976043256955347,0.0787222064230359,0.0275627412434402,3.58502416071877
100,181108,1,1,2,1,1,20,40,0,0,0.65693152330852,1.62338686837113,-0.0345324613389351,0.656023273543194,1.66226687687461e-30,60.4182636843034
99,181108,1,1,1,1,1,0,20,0,1,0.0790447541692783,-2.68071971421891,-0.070797589420447,-0.0351535843682469,0.348384173907922,1.0559243643242
99,181108,1,1,1,2,1,0,20,0,1,0.0760531813753414,-1.62854066896874,-0.00438920074773235,-0.0759264203957139,0.602390365979499,0.508999602963331
100,181108,1,1,2,1,1,0,20,0,1,0.0336455464001615,-0.722449433430666,0.0252404971603208,-0.022247249170746,0.849060155473583,0.164143304921986
100,181108,1,1,2,2,1,0,20,0,1,0.383255794896362,-0.0274006268178513,0.383111930755023,-0.0105001349896324,0.0129371182950828,4.25966512532762
99,181108,1,1,1,1,1,0,20,0,0,0.350821337519757,1.75686498868226,-0.0649008440378417,0.344765849965345,5.0079979063e-10,20.7997782351965
99,181108,1,1,1,2,1,0,20,0,0,0.544185560906527,1.56481213897499,0.00325648916918087,0.544175817156039,5.94147473149134e-13,26.0601373735253
100,181108,1,1,2,1,1,0,20,0,0,0.234830783140695,1.89056152367489,-0.0738175698512787,0.222927035354001,0.00029258818791593,8.05124251972895
100,181108,1,1,2,2,1,0,20,0,0,0.791053255170491,-2.87571632345943,-0.763257709503935,-0.207853124582328,3.06278083828244e-10,18.1471923229591
99,181108,1,1,1,1,1,0,20,20,0,0.296758580978667,-2.56394181274143,-0.248608829397562,-0.162047231787668,2.55761689859524e-07,14.8830957599758
99,181108,1,1,1,2,1,0,20,20,0,0.490824177104674,-2.06390762257575,-0.232340853875372,-0.432349511912461,1.67214991141411e-10,21.1999368090823
100,181108,1,1,2,1,1,0,20,20,0,0.303776258968402,-2.45308428225366,-0.234574397038342,-0.193015200870129,1.06822844563913e-06,13.4728822648743
100,181108,1,1,2,2,1,0,20,20,0,0.722037194973067,-0.906080945995578,0.445377911438657,-0.56830997433365,2.6658325446532e-08,15.1187936168126
99,181108,1,1,1,1,1,0,20,40,0,0.36347137225886,-0.691256574242844,0.280034901341698,-0.23171511060413,9.81807795571098e-11,22.3268330983438
99,181108,1,1,1,2,1,0,20,40,0,0.288497829519825,0.519132522995349,0.250488207359074,0.143131602421294,0.000587706202612729,7.32432779211319
100,181108,1,1,2,1,1,0,20,40,0,0.355203890839742,-0.783418113436267,0.251663910596104,-0.250669264512361,5.76097753117654e-09,18.420791393883
